epoch,train_loss,train_macro_f1,train_accuracy,dev_loss,dev_macro_f1,dev_accuracy
1,0.6414203984564086,0.6109907215186445,0.616486574983628,0.6042512131416883,0.6487074607329844,0.6517220902612827
2,0.5752184020981105,0.6863431462145223,0.6886869679109365,0.5730354927497918,0.6838076622921008,0.6885391923990499
3,0.5269107494427632,0.7316930134418133,0.7328094302554028,0.5759580945175787,0.6897763614458854,0.690914489311164
4,0.475256266903081,0.7709390382330679,0.7716519318925998,0.6317920129825837,0.6749786815910698,0.6765142517814727
5,0.41878616759101,0.8059445938278094,0.8063195808775376,0.6565341717273776,0.6854140737545268,0.6855700712589073
6,0.36136951720550625,0.8368626798162788,0.8371398166339227,0.7107595400685652,0.6778135460999911,0.6778503562945368
